"idx","var","lo","hi","width","rel_width","hh","rule"
11531,"shelter_expenses_by_hh_size",285,290,5,0.0172413793103448,"4+","shelter_expenses_by_hh_size >= 285 & shelter_expenses_by_hh_size < 290 & total_deductions_by_hh_size < 213"
12057,"utilities",301,306,5,0.0163398692810458,"4+","total_deductions_by_hh_size >= 74.7 & total_deductions_by_hh_size < 128 & utilities >= 301 & utilities < 306"
14195,"shelter_expenses_by_hh_size",305,310,5,0.0161290322580645,"4+","shelter_expenses_by_hh_size >= 305 & shelter_expenses_by_hh_size < 310"
15962,"shelter_expenses_by_hh_size",285,290,5,0.0172413793103448,"4+","shelter_expenses_by_hh_size >= 285 & shelter_expenses_by_hh_size < 290"
18490,"unearned_by_hh_size",217,222,5,0.0225225225225225,"4+","unearned_by_hh_size >= 217 & unearned_by_hh_size < 222"
25151,"earned_by_hh_size",623,628,5,0.00796178343949045,"4+","earned_by_hh_size >= 623 & earned_by_hh_size < 628 & unearned_by_hh_size < 511"
27101,"earned_by_hh_size",138,143,5,0.034965034965035,"2-3","earned_by_hh_size >= 138 & earned_by_hh_size < 143"
28393,"utilities",301,306,5,0.0163398692810458,"4+","total_deductions_by_hh_size >= 128 & utilities >= 301 & utilities < 306"
28938,"medical_deductions",151,156,5,0.032051282051282,"1","gross_by_hh_size < 1750 & medical_deductions >= 151 & medical_deductions < 156"
31066,"earned_by_hh_size",1,6,5,0.833333333333333,"1","bbce_state_i >= 1 & earned_by_hh_size >= 1 & earned_by_hh_size < 6"
31181,"earned_by_hh_size",1,6,5,0.833333333333333,"1","earned_by_hh_size >= 1 & earned_by_hh_size < 6"
34499,"total_deductions_by_hh_size",407,412,5,0.0121359223300971,"2-3","earned_by_hh_size >= 68.7 & months_since_cert_n < 4 & total_deductions_by_hh_size >= 407 & total_deductions_by_hh_size < 412"
37102,"total_deductions_by_hh_size",192,197,5,0.0253807106598985,"2-3","months_since_cert_n >= 3 & total_deductions_by_hh_size >= 192 & total_deductions_by_hh_size < 197"
37498,"utilities",301,306,5,0.0163398692810458,"2-3","unc_rawben_rel_max < 1.19 & utilities >= 301 & utilities < 306"
