"hh","rule","n_flagged_train","precision_train","precision_train_lcb"
"1","count_divisible_by_100 >= 1.000 & rawben_rel_max >= 0.968 & unc_rawben_rel_max >= 1.630",168,0.1071,0.0634
"1","shelter_expenses_by_hh_size >= 500.00 & unc_rawben_rel_max >=   1.73",2442,0.0762,0.0646
"1","months_since_cert_n >=   6.00 & shelter_expenses_by_hh_size >= 500.00 & unc_rawben_rel_max >=   1.73",921,0.1281,0.1047
"1","months_since_cert_n >=   6.00 & months_since_cert_n <  21.00 & shelter_expenses_by_hh_size >= 500.00 & unc_rawben_rel_max >=   1.73",804,0.1206,0.0964
"1","elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.292 & utilities >= 379.000 & utilities < 391.000",441,0.0522,0.0325
"1","elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.292 & unc_rawben_rel_max >=   1.870 & utilities >= 391.000",515,0.1825,0.1463
"1","rawben_rel_max >=   0.384 & shelter_expenses_by_hh_size < 945.000 & unc_rawben_rel_max >=   1.220",3461,0.0506,0.0426
"1","months_since_cert_n >= 6.00 & unc_rawben_rel_max >= 1.31",2190,0.074,0.062
"1","months_since_cert_n >=    6.00 & shelter_expenses_by_hh_size < 1160.00 & unc_rawben_rel_max >=    1.31",1385,0.0982,0.0811
"1","months_since_cert_n >=    6.00 & shelter_expenses_by_hh_size < 1160.00 & unc_rawben_rel_max >=    1.31 & utilities <  679.00",1041,0.1239,0.1021
"1","months_since_cert_n <   28.00 & shelter_expenses_by_hh_size < 1700.00 & unc_rawben_rel_max >=    1.76",2129,0.077,0.0646
"1","months_since_cert_n >=   28.00 & shelter_expenses_by_hh_size < 1700.00 & unc_rawben_rel_max >=    1.76",29,0.1724,0.0655
"1","months_since_cert_n >=    9.00 & months_since_cert_n <   28.00 & shelter_expenses_by_hh_size < 1700.00 & unc_rawben_rel_max >=    1.76",461,0.1584,0.1228
"1","medical_deductions >= 120 & total_deductions_by_hh_size >= 885",663,0.0543,0.0372
"1","medical_deductions >=  30.00 & medical_deductions < 137.00 & months_since_cert_n >=   6.00 & rawben_rel_max >=   0.28",446,0.0605,0.0392
"1","months_since_cert_n >=  10.00 & unc_rawben_rel_max >=   1.81 & utilities < 679.00",249,0.2329,0.1767
"1","months_since_cert_n <  10.00 & shelter_expenses_by_hh_size < 810.00 & total_deductions_by_hh_size >= 706.00 & unc_rawben_rel_max >=   1.81",51,0.2745,0.1562
"1","months_since_cert_n >=  10.00 & months_since_cert_n <  21.00 & unc_rawben_rel_max >=   1.81 & utilities < 679.00",196,0.2092,0.1499
