"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Texas","floor02",0.1,55052,193,39,110,832,83,23,0.2771,0.149,0.1844,0,0
"Texas","floor05",0.05,54611,634,19,40,832,41,13,0.3171,0.149,0.1043,0,0
"Texas","floor05",0.1,54611,634,39,110,832,83,23,0.2771,0.149,0.1844,0,0
"Utah","unfiltered",0.05,55173,0,39,75,982,49,7,0.1429,0.0438,0.1358,0,0
"Utah","unfiltered",0.1,55173,0,78,133,982,98,11,0.1122,0.0438,0.2246,0,0
"Utah","floor02",0.05,54980,193,38,75,982,49,8,0.1633,0.0438,0.1556,0,0
"Utah","floor02",0.1,54980,193,78,131,982,98,11,0.1122,0.0438,0.2246,0,0
"Utah","floor05",0.05,54537,636,38,75,982,49,8,0.1633,0.0438,0.1556,0,0
"Utah","floor05",0.1,54537,636,78,129,982,98,11,0.1122,0.0438,0.2246,0,0
"Vermont","unfiltered",0.05,53612,0,27,47,631,31,7,0.2258,0.0634,0.2185,0,0
"Vermont","unfiltered",0.1,53612,0,45,92,631,63,11,0.1746,0.0634,0.3657,0,0
"Vermont","floor02",0.05,53419,193,27,46,631,31,7,0.2258,0.0634,0.2185,0,0
"Vermont","floor02",0.1,53419,193,45,91,631,63,11,0.1746,0.0634,0.3657,0,0
"Vermont","floor05",0.05,52978,634,27,43,631,31,7,0.2258,0.0634,0.2185,0,0
"Vermont","floor05",0.1,52978,634,48,84,631,63,11,0.1746,0.0634,0.3657,0,0
"Virginia","unfiltered",0.05,60169,0,32,23,695,34,17,0.5,0.1698,0.1735,0,0
"Virginia","unfiltered",0.1,60169,0,35,68,695,69,29,0.4203,0.1698,0.2654,0,0
"Virginia","floor02",0.05,59976,193,32,23,695,34,17,0.5,0.1698,0.1735,0,0
"Virginia","floor02",0.1,59976,193,35,68,695,69,29,0.4203,0.1698,0.2654,0,0
"Virginia","floor05",0.05,59535,634,31,18,695,34,16,0.4706,0.1698,0.1679,0,0
"Virginia","floor05",0.1,59535,634,35,76,695,69,28,0.4058,0.1698,0.2588,0,0
"Washington","unfiltered",0.05,56626,0,24,67,678,33,9,0.2727,0.09,0.1463,0,0
"Washington","unfiltered",0.1,56626,0,54,133,678,67,15,0.2239,0.09,0.2697,0,0
"Washington","floor02",0.05,56433,193,24,67,678,33,9,0.2727,0.09,0.1463,0,0
"Washington","floor02",0.1,56433,193,53,138,678,67,15,0.2239,0.09,0.2697,0,0
